,ori,,,
1582891719985,81.34732,-18.04498,13.951947,DATA
1582891720003,81.02823,-17.75159,13.65489,DATA
1582891720023,80.823975,-17.430355,13.2620535,DATA
1582891720043,80.48581,-18.16278,13.275135,DATA
1582891720066,80.22821,-18.337534,12.956905,DATA
1582891720086,80.104065,-16.736664,12.206325,DATA
1582891720098,79.91562,-16.908976,12.009205,DATA
1582891720120,79.78583,-18.050753,11.587382,DATA
1582891720136,79.616394,-19.012642,11.61018,DATA
1582891720156,79.58014,-18.198515,10.893967,DATA
1582891720175,79.56247,-17.728378,10.62056,DATA
1582891720195,79.65326,-17.860088,9.9535,DATA
1582891720214,79.491394,-19.978813,10.1136265,DATA
1582891720235,79.493835,-18.866194,9.434598,DATA
1582891720257,79.64902,-17.435192,8.998571,DATA
1582891720279,79.81406,-17.88274,8.348617,DATA
1582891720329,79.93524,-18.187328,8.030432,DATA
1582891720329,80.01102,-19.175987,7.696171,DATA
1582891720330,80.18884,-18.347912,7.2956495,DATA
1582891720348,80.39685,-17.603346,6.8315077,DATA
1582891720367,80.46686,-19.536743,6.662049,DATA
1582891720387,80.35275,-20.450113,6.4784436,DATA
1582891720407,80.33646,-18.948792,6.1254973,DATA
1582891720425,80.41138,-18.160875,5.7182555,DATA
1582891720448,80.472534,-18.175951,5.61215,DATA
1582891720464,80.44504,-19.82019,5.456662,DATA
1582891720512,80.361694,-19.801771,5.3546762,DATA
1582891720512,80.47894,-18.946022,4.9662657,DATA
1582891720520,80.44702,-19.371618,4.9373736,DATA
1582891720539,80.398834,-19.90277,4.7443986,DATA
1582891720561,80.3591,-19.873943,4.7134476,DATA
1582891720579,80.234955,-20.483389,4.720183,DATA
1582891720600,80.22565,-20.549889,4.4066715,DATA
1582891720619,79.97363,-20.35172,4.7039313,DATA
1582891720637,80.04083,-19.461277,4.2152143,DATA
1582891720660,79.838165,-20.175936,4.5383954,DATA
1582891720708,79.765015,-20.520304,4.161187,DATA
1582891720709,79.57428,-21.165464,4.4382863,DATA
1582891720712,79.50305,-19.884,4.2056904,DATA
1582891720746,79.321014,-20.54674,4.311161,DATA
1582891720751,79.03418,-21.014763,4.408176,DATA
1582891720769,78.871,-18.965157,4.1807556,DATA
